Date,Open,High,Low,Close,Volume
2024-01-23,211.3,215.65,207.7516,209.14,106537446.0
2024-01-22,212.26,217.8,206.27,208.8,117952527.0
2024-01-19,209.99,213.19,207.56,212.19,102120143.0
2024-01-18,216.88,217.45,208.74,211.88,108560656.0
2024-01-17,214.86,215.67,212.01,215.55,103130830.0
2024-01-16,215.1,223.49,212.18,219.91,114835186.0
2024-01-12,220.08,225.34,217.1501,218.89,122915812.0
2024-01-11,230.57,230.93,225.37,227.22,105871212.0
2024-01-10,235.1,235.5,231.29,233.94,91612402.0
2024-01-09,238.11,238.9646,232.04,234.96,96701528.0
2024-01-08,236.14,241.25,235.3,240.45,85163330.0
2024-01-05,236.86,240.1196,234.9001,237.49,92488939.0
2024-01-04,239.25,242.7,237.73,237.93,102618283.0
2024-01-03,244.98,245.68,236.32,238.45,121082599.0
2024-01-02,250.08,251.25,244.41,248.42,104654163.0
2023-12-29,255.1,255.19,247.43,248.48,100891578.0
2023-12-28,263.66,265.13,252.71,253.18,113619943.0
2023-12-27,258.35,263.34,257.52,261.44,106481409.0
2023-12-26,254.49,257.97,252.91,256.61,86892382.0
2023-12-22,256.76,258.22,251.37,252.54,93368169.0
2023-12-21,251.9,254.7999,248.55,254.5,109594227.0
2023-12-20,256.41,259.84,247.0,247.14,125096987.0
2023-12-19,253.48,258.3399,253.01,257.22,106690869.0
2023-12-18,253.78,258.74,251.36,252.08,116388940.0
2023-12-15,251.21,254.13,248.3,253.5,135857762.0
2023-12-14,241.22,253.88,240.79,251.05,160645939.0
2023-12-13,234.19,240.3,228.2,239.29,146266957.0
2023-12-12,238.55,238.99,233.87,237.01,95326563.0
2023-12-11,242.74,243.441,237.45,239.74,97911388.0
2023-12-08,240.27,245.27,239.2701,243.84,103123229.0
2023-12-07,241.55,244.08,236.98,242.64,107142262.0
2023-12-06,242.92,246.57,239.1709,239.37,126436179.0
2023-12-05,233.87,246.66,233.7,238.72,137964815.0
2023-12-04,235.75,239.3733,233.2902,235.58,104088317.0
2023-12-01,233.14,240.19,231.9,238.83,121303661.0
2023-11-30,245.14,245.22,236.91,240.08,132353076.0
2023-11-29,249.21,252.75,242.76,244.14,135380335.0
2023-11-28,236.68,247.0,234.01,246.72,148549913.0
2023-11-27,236.89,238.33,232.1,236.08,112031163.0
2023-11-24,233.75,238.75,232.33,235.45,65125203.0
2023-11-22,242.04,244.01,231.4,234.21,118117078.0
2023-11-21,235.04,243.62,233.34,241.2,122248300.0
2023-11-20,234.04,237.1,231.02,235.6,116562402.0
2023-11-17,232.0,237.39,226.54,234.3,142766234.0
2023-11-16,239.49,240.88,230.96,233.59,136774269.0
2023-11-15,239.29,246.7,236.45,242.84,150353975.0
2023-11-14,235.03,238.135,230.72,237.41,149762546.0
2023-11-13,215.6,225.4,211.6101,223.71,140428469.0
2023-11-10,210.03,215.38,205.69,214.65,131295153.0
2023-11-09,219.75,220.8,206.68,209.98,142065154.0
2023-11-08,223.15,224.15,217.64,222.11,106384841.0
2023-11-07,219.98,223.12,215.72,222.18,116897380.0
2023-11-06,223.98,226.32,215.0,219.27,116835820.0
2023-11-03,221.15,226.3701,218.4,219.96,119526048.0
2023-11-02,212.97,219.2,211.45,218.51,125959421.0
2023-11-01,204.04,205.99,197.85,205.66,121661656.0
2023-10-31,196.12,202.8,194.07,200.84,118053273.0
2023-10-30,209.28,211.35,191.25,197.36,136460923.0
2023-10-27,210.6,212.41,205.77,207.3,94717973.0
2023-10-26,211.32,214.8,204.88,205.76,115095735.0
2023-10-25,215.88,220.1,212.2,212.42,107049087.0
2023-10-24,216.5,222.05,214.11,216.52,118096713.0
2023-10-23,210.0,216.98,202.51,212.08,150453468.0
2023-10-20,217.01,218.8606,210.42,211.99,137930095.0
2023-10-19,225.95,230.61,216.78,220.11,170588573.0
2023-10-18,252.7,254.63,242.08,242.68,125116646.0
2023-10-17,250.1,257.183,247.08,254.85,93535509.0
2023-10-16,250.05,255.3999,248.48,253.92,88916276.0
2023-10-13,258.9,259.6,250.22,251.12,102137686.0
2023-10-12,262.92,265.41,256.6307,258.87,111508114.0
2023-10-11,266.2,268.6,260.9,262.99,103706266.0
2023-10-10,257.75,268.94,257.65,263.62,122656030.0
2023-10-09,255.31,261.36,252.05,259.67,101377947.0
2023-10-06,253.98,261.65,250.65,260.53,118108312.0
2023-10-05,260.0,263.6,256.25,260.05,119159214.0
2023-10-04,248.14,261.86,247.6,261.16,129721567.0
2023-10-03,248.61,250.02,244.45,246.53,101985305.0
2023-10-02,244.81,254.2799,242.62,251.6,123810402.0
2023-09-29,250.0,254.77,246.35,250.22,128472729.0
2023-09-28,240.02,247.55,238.65,246.38,117043180.0
2023-09-27,244.262,245.33,234.58,240.5,136585184.0
2023-09-26,242.98,249.55,241.6601,244.12,101934431.0
2023-09-25,243.38,247.1,238.31,246.99,104583747.0
2023-09-22,257.4,257.7888,244.48,244.88,127524083.0
2023-09-21,257.85,260.86,254.21,255.7,119803341.0
2023-09-20,267.04,273.93,262.4606,262.59,122491643.0
2023-09-19,264.35,267.85,261.2,266.5,103677113.0
2023-09-18,271.16,271.44,263.7601,265.28,101540959.0
2023-09-15,277.55,278.98,271.0,274.39,133692313.0
2023-09-14,271.32,276.7094,270.42,276.04,107709842.0
2023-09-13,270.07,274.98,268.1,271.3,111673737.0
2023-09-12,270.76,278.39,266.6,267.48,135991116.0
2023-09-11,264.27,274.85,260.61,273.58,174667852.0
2023-09-08,251.22,256.52,246.67,248.5,118558435.0
2023-09-07,245.07,252.81,243.265,251.49,115312886.0
2023-09-06,255.135,255.39,245.06,251.92,116952759.0
2023-09-05,245.0,258.0,244.86,256.49,129455425.0
2023-09-01,257.26,259.0794,242.01,245.01,132481248.0
2023-08-31,255.98,261.18,255.05,258.08,108861698.0
2023-08-30,254.2,260.51,250.59,256.9,121978637.0
2023-08-29,238.58,257.48,237.77,257.18,134012603.0
2023-08-28,242.58,244.38,235.35,238.82,107673727.0
2023-08-25,231.31,239.0,230.35,238.59,106612231.0
2023-08-24,238.66,238.92,228.1801,230.04,99777432.0
2023-08-23,229.34,238.98,229.29,236.86,101077635.0
2023-08-22,240.25,240.82,229.55,233.19,130586984.0
2023-08-21,221.5512,232.1343,220.58,231.28,135675321.0
2023-08-18,214.12,217.58,212.36,215.49,136244960.0
2023-08-17,226.06,226.74,218.83,219.22,120704917.0
2023-08-16,228.02,233.97,225.38,225.6,112426570.0
2023-08-15,238.73,240.5,232.61,232.96,88185999.0
2023-08-14,235.7,240.66,233.75,239.76,98565731.0
2023-08-11,241.77,243.79,238.02,242.65,99038642.0
2023-08-10,245.4,251.8,243.0,245.34,109498608.0
2023-08-09,250.87,251.1,241.9,242.19,101526974.0
2023-08-08,247.45,250.92,245.01,249.7,96630383.0
2023-08-07,251.45,253.6511,242.76,251.45,111084193.0
2023-08-04,260.97,264.77,253.11,253.86,99539907.0
2023-08-03,252.04,260.49,252.0,259.32,97795545.0
2023-08-02,255.57,259.52,250.49,254.11,101741165.0
2023-08-01,266.26,266.47,260.25,261.07,83645720.0
2023-07-31,267.48,269.08,263.78,267.43,84582172.0
2023-07-28,259.86,267.25,258.2312,266.44,111346026.0
2023-07-27,268.31,269.13,255.3,255.71,103688763.0
2023-07-26,263.25,268.04,261.75,264.35,95643449.0
2023-07-25,272.38,272.9,265.0,265.28,112736277.0
2023-07-24,255.85,269.85,254.12,269.06,137004890.0
2023-07-21,268.0,268.0,255.8,260.02,160727973.0
2023-07-20,279.56,280.93,261.2,262.9,175157173.0
2023-07-19,296.04,299.29,289.5201,291.26,142337536.0
2023-07-18,290.15,295.26,286.01,293.34,112430213.0
2023-07-17,286.625,292.23,283.57,290.38,131036703.0
2023-07-14,277.01,285.3,276.31,281.38,120062369.0
2023-07-13,274.59,279.45,270.6,277.9,112643377.0
2023-07-12,276.325,276.52,271.46,271.99,95672096.0
2023-07-11,268.65,270.9,266.37,269.79,91962158.0
2023-07-10,276.47,277.52,265.1,269.61,119424888.0
2023-07-07,278.43,280.78,273.77,274.43,113877074.0
